а/а;гЛ/МъА;аИТИОКОЦъА;йАТэСТГЛА;тОЙИСЛЭР АПЭ;аЯ. СУМАККАЦчР;пОСЭ;пЯЭСГЛО ПОСОЩ
32;30/12/2016;лу лаRйет 563 летало;99;28/12/2016;201612300994935689;28,93;в
33;29/12/2016;ейо йаLияSо 94;99;26/12/2016;201612290994968929;29,01;в
34;29/12/2016;амакгьг апо атл;995;29/12/2016;201612299952770017;120,00;в
35;27/12/2016;жоятисг яRеяаиD лC;96;27/12/2016;20161227096138н434;21,00;в
36;27/12/2016;жоятисг яRеяаиD лC;96;27/12/2016;20161227096137н937;20,00;в
37;27/12/2016;енода емтокгс;99;27/12/2016;201612270999824064;0,10;в
38;27/12/2016;Dег713586879049;99;27/12/2016;201612270999824064;129,00;в
39;27/12/2016;Cута64632800277701;99;27/12/2016;201612270999824051;18,20;в
40;27/12/2016;аттRаттиVо Lалиа;99;24/12/2016;201612270995104201;59,90;в
41;27/12/2016;амакгьг апо атл;232;27/12/2016;201612272320330373;40,00;в
42;27/12/2016;емоийио;99;27/12/2016;201612270999513474;330,00;в
43;27/12/2016;летяым 6 - ц2;99;27/12/2016;201612270999513473;21,11;в
44;23/12/2016;амакгьг апо атл;210;23/12/2016;201612232100210235;250,00;в
45;20/12/2016;емт.161220949217н368;99;20/12/2016;201612200999517641;971,67;п
46;20/12/2016;амакгьг апо атл;995;20/12/2016;201612209954890001;120,00;в
47;19/12/2016;ой амутиле;99;14/12/2016;201612190994838419;10,12;в
48;19/12/2016;е FооD GR;99;14/12/2016;201612190994819745;23,10;в
49;15/12/2016;енода амак.пеияаиыс;99;15/12/2016;201612150997708966;1,50;в
50;15/12/2016;амак. атл пеияаиыс;99;15/12/2016;201612150997708966;40,00;в
51;15/12/2016;йаSSоиL ее;99;13/12/2016;201612150994892435;64,01;в
52;13/12/2016;емт.161213949212н061;99;13/12/2016;201612130999513974;1.177,93;п
53;12/12/2016;лу лаRйет 683 гоLаRG;99;8/12/2016;201612120994897516;54,89;в
54;12/12/2016;йRитийоS йомSтамтимо;99;7/12/2016;201612120994850821;3,06;в
55;09/12/2016;лав яеRRу;99;6/12/2016;201612090994831277;18,15;в
56;08/12/2016;амакгьг апо атл;995;8/12/2016;201612089954890043;120,00;в
57;02/12/2016;Cута64632800277701;99;2/12/2016;201612020999826417;18,10;в
58;02/12/2016;летяым 6 - ц2;99;2/12/2016;201612020999513536;39,28;в
59;02/12/2016;емоийио;99;2/12/2016;201612020999513535;330,00;в
60;01/12/2016;амакгьг апо атл;214;1/12/2016;201612012140220119;120,00;в
61;29/11/2016;амакгьг апо атл;289;29/11/2016;201611292890210250;40,00;в
62;29/11/2016;емт.161129949023н216;99;29/11/2016;201611290999515001;25,00;п
63;29/11/2016;емт.161129949015н151;99;29/11/2016;201611290999515000;20,00;п
64;28/11/2016;енода амак.ехмийг;99;26/11/2016;201611280997704728;1,50;в
65;28/11/2016;амак. атл ехмийг;99;26/11/2016;201611280997704728;80,00;в
66;24/11/2016;амакгьг апо атл;289;24/11/2016;201611242890210123;40,00;в
67;23/11/2016;енода амак.пеияаиыс;99;23/11/2016;201611230997703093;1,50;в
68;23/11/2016;амак. атл пеияаиыс;99;23/11/2016;201611230997703093;100,00;в
69;23/11/2016;яUбLиC тге лаLL;99;19/11/2016;201611230994884772;43,96;в
70;22/11/2016;ой амутиле;99;17/11/2016;201611220994817719;17,52;в
71;21/11/2016;йRитийоS йомSтамтимо;99;17/11/2016;201611210994919168;13,69;в
72;18/11/2016;амакгьг апо атл;145;18/11/2016;201611181450210269;80,00;в
73;18/11/2016;емт.161118949026н010;99;18/11/2016;201611180999513280;1.187,33;п
74;17/11/2016;йаSSоиL ее;99;15/11/2016;201611170994886213;48,00;в
75;15/11/2016;жоятисг яRеяаиD лC;96;15/11/2016;20161115096015н368;150,00;в
76;14/11/2016;енода амак.ехмийг;99;12/11/2016;201611140997702813;1,50;в
77;14/11/2016;амак. атл ехмийг;99;12/11/2016;201611140997702813;80,00;в
78;11/11/2016;лу лаRйет 563 летало;99;9/11/2016;201611110994890952;35,47;в
79;09/11/2016;яаLаLто LтD лCаRтгUR;99;5/11/2016;201611090994894979;69,30;в
80;09/11/2016;мийе RетаиL еLLаS ея;99;5/11/2016;201611090994879643;84,00;в
81;08/11/2016;амакгьг апо атл;995;8/11/2016;201611089956480029;40,00;в
82;08/11/2016;ийеа;99;6/11/2016;201611080994937844;165,97;в
83;03/11/2016;амакгьг апо атл;995;3/11/2016;201611039956480042;120,00;в
84;02/11/2016;лу лаRйет 563 летало;99;31/10/2016;201611020995014897;44,84;в
85;31/10/2016;еуDа1600097960664405;99;31/10/2016;201610310999827240;11,00;в
86;31/10/2016;енода емтокгс;99;31/10/2016;201610310999828901;0,10;в
87;31/10/2016;Dег713586879049;99;31/10/2016;201610310999828901;61,00;в
88;31/10/2016;Cута64632800277701;99;31/10/2016;201610310999828886;21,20;в
89;31/10/2016;емоийио;96;31/10/2016;201610310960133054;330,00;в
90;31/10/2016;летяым 6 - ц2;96;31/10/2016;201610310960133039;20,52;в
91;27/10/2016;амакгьг апо атл;995;27/10/2016;201610279952590423;80,00;в
92;27/10/2016;жоятисг яRеяаиD лC;96;27/10/2016;20161027096027н434;100,00;в
93;25/10/2016;амакгьг апо атл;995;25/10/2016;201610259956480022;40,00;в
94;24/10/2016;йаSSоиL ее;99;21/10/2016;201610240994932665;58,00;в
95;24/10/2016;енода амак.ехмийг;99;22/10/2016;201610240997701481;1,50;в
96;24/10/2016;амак. атл ехмийг;99;22/10/2016;201610240997701481;40,00;в
97;20/10/2016;емт.161020949024н873;99;20/10/2016;201610200999512579;1.174,67;п
98;19/10/2016;лу лаRйет 563 летало;99;17/10/2016;201610190994967421;60,57;в
99;14/10/2016;ой амутиле;99;11/10/2016;201610140994825501;23,78;в
100;13/10/2016;JUлбо м FиLаDеLFиа;99;10/10/2016;201610130994826484;28,69;в
101;12/10/2016;амакгьг апо атл;596;12/10/2016;201610125960310037;200,00;в
102;11/10/2016;енода амак.пеияаиыс;99;11/10/2016;201610110997707434;1,50;в
103;11/10/2016;амак. атл пеияаиыс;99;11/10/2016;201610110997707434;40,00;в
104;10/10/2016;Cута64632800277701;99;10/10/2016;201610100999823747;18,50;в
105;10/10/2016;CаRSяот;99;5/10/2016;201610100994846270;150,00;в
106;10/10/2016;енода амак.ехмийг;99;9/10/2016;201610100997708202;1,50;в
107;10/10/2016;амак. атл ехмийг;99;9/10/2016;201610100997708202;40,00;в
108;07/10/2016;амак. атл ехмийг;99;7/10/2016;201610070997700042;40,00;в
109;07/10/2016;енода амак.ехмийг;99;7/10/2016;201610070997700042;1,50;в
110;05/10/2016;амак. атл пеияаиыс;99;5/10/2016;201610050997700558;40,00;в
111;05/10/2016;енода амак.пеияаиыс;99;5/10/2016;201610050997700558;1,50;в
112;03/10/2016;емоийио;96;3/10/2016;201610030960129823;330,00;в
113;03/10/2016;амакгьг апо атл;145;30/9/2016;201610031450210001;40,00;в
114;30/09/2016;пистытийои тойои;99;30/9/2016;201609300992707005;4,24;п
115;30/09/2016;жояос пистыт. тойым;99;30/9/2016;201609300992707005;0,64;в
116;28/09/2016;амак. атл еURобамй;99;28/9/2016;201609280997700273;40,00;в
117;28/09/2016;енода амак.еURобамй;99;28/9/2016;201609280997700273;1,50;в
118;26/09/2016;жоятисг яRеяаиD лC;96;26/9/2016;20160926096035н013;100,00;в
119;23/09/2016;летяым 6 - ц2;96;23/9/2016;201609230960126669;40,91;в
120;23/09/2016;жоятисг яRеяаиD лC;96;23/9/2016;20160923096022н649;100,00;в
121;23/09/2016;амакгьг апо атл;269;23/9/2016;201609232690310019;80,00;в
122;21/09/2016;тге CRуSтаL бLUе;99;18/9/2016;201609210994917678;20,00;в
123;21/09/2016;йаSSоиL ее;99;19/9/2016;201609210994966063;57,00;в
124;20/09/2016;емт.160920949028н154;99;20/9/2016;201609200999513318;1.022,06;п
125;19/09/2016;FRиDауS RеSт;99;18/9/2016;201609190994966236;53,30;в
126;19/09/2016;амакгьг апо атл;269;18/9/2016;201609192690310367;120,00;в
127;15/09/2016;амакгьг апо атл;995;15/9/2016;201609159952770029;80,00;в
128;14/09/2016;емт.160914949028н763;99;14/9/2016;201609140999515594;96,00;п
129;14/09/2016;амакгьг апо атл;995;14/9/2016;201609149956480014;40,00;в
130;13/09/2016;амакгьг апо атл;995;13/9/2016;201609139956480003;180,00;в
131;06/09/2016;DивомS S.е. еURояе а;99;3/9/2016;201609060994890297;239,80;в
132;05/09/2016;амак. атл пеияаиыс;99;4/9/2016;201609050997710811;70,00;в
133;05/09/2016;енода амак.пеияаиыс;99;4/9/2016;201609050997710811;1,50;в
134;01/09/2016;йаSSоиL ее;99;30/8/2016;201609010994892468;60,99;в
135;30/08/2016;жоятисг яRеяаиD лC;96;30/8/2016;20160830096027н107;100,00;в
136;30/08/2016;ийеа;99;27/8/2016;201608300994863632;54,95;в
137;30/08/2016;амакгьг апо атл;995;30/8/2016;201608309956480004;80,00;в
138;29/08/2016;емоийио;96;29/8/2016;201608290960167284;330,00;в
139;29/08/2016;Cута64632800277701;99;29/8/2016;201608290999825225;17,20;в
140;29/08/2016;Dег713586879049;99;29/8/2016;201608290999825230;105,00;в
141;29/08/2016;енода емтокгс;99;29/8/2016;201608290999825230;0,10;в
142;26/08/2016;лу лаRйет 563 летало;99;24/8/2016;201608260994869920;37,34;в
143;22/08/2016;амакгьг апо атл;130;22/8/2016;201608221300220153;80,00;в
144;19/08/2016;емт.160819949021н203;99;19/8/2016;201608190999513015;1.485,71;п
145;18/08/2016;ейо;99;15/8/2016;201608180994919155;39,00;в
146;17/08/2016;летяым 6 - ц2;96;17/8/2016;201608170960122840;29,96;в
147;17/08/2016;жоятисг яRеяаиD лC;96;17/8/2016;20160817096014н906;100,00;в
148;17/08/2016;лу лаRйет 563 летало;99;12/8/2016;201608170994865425;48,37;в
149;17/08/2016;еуDа1600067642599465;99;17/8/2016;201608170999823436;12,00;в
150;17/08/2016;амакгьг апо атл;995;17/8/2016;201608179952770024;80,00;в
151;16/08/2016;йаSSоиL ее;99;13/8/2016;201608160994967901;51,00;в
152;16/08/2016;амак. атл ехмийг;99;13/8/2016;201608160997703086;80,00;в
153;16/08/2016;енода амак.ехмийг;99;13/8/2016;201608160997703086;1,50;в
154;09/08/2016;яиCаSSо;99;5/8/2016;201608090994851838;47,67;в
155;05/08/2016;амак. атл пеияаиыс;99;5/8/2016;201608050997711616;70,00;в
156;05/08/2016;енода амак.пеияаиыс;99;5/8/2016;201608050997711616;1,50;в
157;03/08/2016;лаRGаRиS;99;29/7/2016;201608030994829368;62,00;в
158;02/08/2016;амак. атл ехмийг;99;2/8/2016;201608020997700105;80,00;в
159;02/08/2016;енода амак.ехмийг;99;2/8/2016;201608020997700105;1,50;в
160;01/08/2016;летяым 6 - ц2 йоим.;96;1/8/2016;201608010960121777;44,13;в
161;01/08/2016;емоийио;96;1/8/2016;201608010960121790;330,00;в
162;01/08/2016;диажояес пкгяылес;96;1/8/2016;20160801096014н209;180,21;в
163;01/08/2016;диажояес пкгяылес;96;1/8/2016;20160801096014н209;0,30;в
164;01/08/2016;Cута64632800277701;99;1/8/2016;201608010999829915;17,10;в
165;27/07/2016;CомSоL CLUб;99;22/7/2016;201607270994817317;51,70;в
166;25/07/2016;SгеLL еRлиS 233;99;21/7/2016;201607250994903458;63,92;в
167;22/07/2016;QUиCйSиLVеR;99;20/7/2016;201607220994887856;41,93;в
168;21/07/2016;л.тиCйетS;96;21/7/2016;201607210960160258;100,00;в
169;20/07/2016;емт.160720949029н201;99;20/7/2016;201607200999516293;1.213,15;п
170;18/07/2016;VиVа GR;99;14/7/2016;201607180994859357;145,50;в
171;18/07/2016;VиVа GR;99;14/7/2016;201607180994859358;30,00;в
172;18/07/2016;тRаVеLяLамет24;99;14/7/2016;201607180994908779;34,50;в
173;18/07/2016;лайRаиом Sа;99;16/7/2016;201607180994973957;41,00;в
174;18/07/2016;амак. атл пеияаиыс;99;17/7/2016;201607180997712990;200,00;в
175;18/07/2016;енода амак.пеияаиыс;99;17/7/2016;201607180997712990;1,60;в
176;15/07/2016;амакгьг апо атл;341;15/7/2016;201607153410210040;40,00;в
177;12/07/2016;амак. атл пеияаиыс;99;12/7/2016;201607120997701752;70,00;в
178;12/07/2016;енода амак.пеияаиыс;99;12/7/2016;201607120997701752;1,50;в
179;11/07/2016;VиVа GR;99;6/7/2016;201607110994830670;41,00;в
180;11/07/2016;амак. атл пеияаиыс;99;10/7/2016;201607110997708913;40,00;в
181;11/07/2016;енода амак.пеияаиыс;99;10/7/2016;201607110997708913;1,50;в
182;08/07/2016;лу лаRйет 563 летало;99;6/7/2016;201607080994881947;33,10;в
183;06/07/2016;лу лаRйет 563 летало;99;4/7/2016;201607060994983255;36,41;в
184;06/07/2016;SгеLL еRлиS 233;99;4/7/2016;201607060995009378;67,31;в
185;04/07/2016;амак. атл пеияаиыс;99;3/7/2016;201607040997709259;40,00;в
186;04/07/2016;енода амак.пеияаиыс;99;3/7/2016;201607040997709259;1,50;в
187;04/07/2016;амакгьг апо атл;269;4/7/2016;201607042690310456;80,00;в
188;01/07/2016;леDитеRRамеам LиFе;99;28/6/2016;201607010994836023;5,55;в
189;01/07/2016;емоийио;99;1/7/2016;201607010999510270;330,00;в
190;30/06/2016;летяым 6 - ц2 йоим.;96;30/6/2016;201606300960138252;33,45;в
191;30/06/2016;пистытийои тойои;99;30/6/2016;201606300992717740;3,11;п
192;30/06/2016;жояос пистыт. тойым;99;30/6/2016;201606300992717740;0,47;в
193;30/06/2016;амак. атл ехмийг;99;30/6/2016;201606300997701071;40,00;в
194;30/06/2016;енода амак.ехмийг;99;30/6/2016;201606300997701071;1,50;в
195;30/06/2016;Cута64632800277701;99;30/6/2016;201606300999826551;17,50;в
196;30/06/2016;Dег713586879049;99;30/6/2016;201606300999826563;74,00;в
197;30/06/2016;енода емтокгс;99;30/6/2016;201606300999826563;0,10;в
198;28/06/2016;амак. атл ехмийг;99;28/6/2016;201606280997707490;80,00;в
199;28/06/2016;енода амак.ехмийг;99;28/6/2016;201606280997707490;1,50;в
200;23/06/2016;амак. атл ехмийг;99;23/6/2016;201606230997707454;40,00;в
201;23/06/2016;енода амак.ехмийг;99;23/6/2016;201606230997707454;1,50;в
202;21/06/2016;SгеLL еRлиS 233;99;16/6/2016;201606210994901509;67,00;в
203;17/06/2016;емт.160617949026н908;99;17/6/2016;201606170999514083;961,38;п
204;15/06/2016;амакгьг апо атл;995;15/6/2016;201606159952770044;40,00;в
205;13/06/2016;яUбLиC тге лаLL;99;8/6/2016;201606130994823687;9,99;в
206;13/06/2016;амакгьг апо атл;995;13/6/2016;201606139952770113;40,00;в
207;10/06/2016;емт.160610949216н720;99;10/6/2016;201606100999517602;480,69;п
208;10/06/2016;амакгьг апо атл;995;10/6/2016;201606109956480044;40,00;в
209;06/06/2016;йаSSоиL ее;99;2/6/2016;201606060994879663;63,00;в
210;06/06/2016;FRиDауS RеSт;99;5/6/2016;201606060994969724;42,70;в
211;06/06/2016;амакгьг апо атл;995;6/6/2016;201606069952770101;40,00;в
212;01/06/2016;йатRиGе ийе;99;28/5/2016;201606010994867636;544,39;в
213;01/06/2016;емоийио;99;1/6/2016;201606010999510181;330,00;в
214;30/05/2016;амакгьг апо атл;995;30/5/2016;201605309952040222;80,00;в
215;26/05/2016;летяым 6 - ц2 йоим.;96;26/5/2016;201605260960152145;44,40;в
216;26/05/2016;лав яеRRу;99;23/5/2016;201605260994837516;28,28;в
217;26/05/2016;еуDа1600036984805484;99;26/5/2016;201605260999822013;13,00;в
218;26/05/2016;Cута64632800277701;99;26/5/2016;201605260999822109;17,20;в
219;25/05/2016;SуSт Fаял лаяGаяитгS;99;21/5/2016;201605250994859254;3,20;в
220;23/05/2016;CаRRеFоUR лаRимояоUL;99;21/5/2016;201605230994931285;20,92;в
221;23/05/2016;амакгьг апо атл;269;21/5/2016;201605232690310188;80,00;в
222;20/05/2016;емт.160520949211н688;99;20/5/2016;201605200999514760;1.203,69;п
223;16/05/2016;GалеLамD;99;11/5/2016;201605160994823173;56,50;в
224;16/05/2016;йаSSоиL ее;99;12/5/2016;201605160994876826;65,08;в
225;16/05/2016;амак. атл ехмийг;99;16/5/2016;201605160997723841;40,00;в
226;16/05/2016;енода амак.ехмийг;99;16/5/2016;201605160997723841;1,50;в
227;09/05/2016;GеRомийоU еLеми;99;4/5/2016;201605090994818376;35,01;в
228;09/05/2016;VиLLаGе RоаDSгоW ояе;99;4/5/2016;201605090994820839;60,00;в
229;06/05/2016;амакгьг апо атл;995;6/5/2016;201605069952770006;80,00;в
230;05/05/2016;VиVа яаулемтS;99;2/5/2016;201605050995002895;48,00;в
231;04/05/2016;лайRаиом Sа;99;29/4/2016;201605040995039945;38,01;в
232;04/05/2016;амак. атл ехмийг;99;29/4/2016;201605040997700026;80,00;в
233;04/05/2016;енода амак.ехмийг;99;29/4/2016;201605040997700026;1,50;в
234;28/04/2016;емоийио;99;28/4/2016;201604280999514941;330,00;в
235;28/04/2016;Cута64632800277701;99;28/4/2016;201604280999831181;17,50;в
236;28/04/2016;Dег713586879049;99;28/4/2016;201604280999831190;100,00;в
237;28/04/2016;енода емтокгс;99;28/4/2016;201604280999831190;0,10;в
238;20/04/2016;емт.160420949214н762;99;20/4/2016;201604200999517318;2.298,46;п
239;20/04/2016;амакгьг апо атл;995;20/4/2016;201604209956480018;40,00;в
240;18/04/2016;йаSSоиL ее;99;15/4/2016;201604180994920714;55,00;в
241;18/04/2016;FRиDауS RеSт;99;15/4/2016;201604180994922114;28,45;в
242;18/04/2016;CаRRеFоUR лаRимояоUL;99;15/4/2016;201604180994922216;32,54;в
243;18/04/2016;CаRRеFоUR лаRимояоUL;99;16/4/2016;201604180994944320;27,47;в
244;15/04/2016;амакгьг апо атл;103;15/4/2016;201604151030320226;40,00;в
245;11/04/2016;LиаSйаS яамаGиотиS;99;2/4/2016;201604110994811256;9,80;в
246;11/04/2016;амакгьг апо атл;995;11/4/2016;201604119956480034;50,00;в
247;06/04/2016;йаSSоиL ее;99;4/4/2016;201604060994948036;55,00;в
248;01/04/2016;емоийио;96;1/4/2016;201604010960178341;330,00;в
249;01/04/2016;Cута64632800277701;99;1/4/2016;201604010999830761;17,00;в
250;31/03/2016;пистытийои тойои;99;31/3/2016;201603310992707072;4,94;п
251;31/03/2016;жояос пистыт. тойым;99;31/3/2016;201603310992707072;0,74;в
252;30/03/2016;VиLLаGе RоаDSгоW;99;26/3/2016;201603300994870752;30,00;в
253;30/03/2016;амакгьг апо атл;289;30/3/2016;201603302890210244;250,00;в
254;29/03/2016;амак. атл пеияаиыс;99;26/3/2016;201603290997709008;70,00;в
255;29/03/2016;енода амак.пеияаиыс;99;26/3/2016;201603290997709008;1,50;в
256;29/03/2016;амакгьг апо атл;995;29/3/2016;201603299952770082;40,00;в
257;21/03/2016;амак. атл пеияаиыс;99;20/3/2016;201603210997709015;40,00;в
258;21/03/2016;енода амак.пеияаиыс;99;20/3/2016;201603210997709015;1,50;в
259;18/03/2016;йаSSоиL ее;99;16/3/2016;201603180994871552;55,01;в
260;18/03/2016;CаRRеFоUR лаRимояоUL;99;16/3/2016;201603180994873316;20,65;в
261;18/03/2016;емт.160318949215н266;99;18/3/2016;201603180999515530;992,32;п
262;17/03/2016;летяым 6 - ц2 йоим.;96;17/3/2016;201603170960140060;94,48;в
263;17/03/2016;JUлбо м FиLаDеLFиа;99;11/3/2016;201603170994820903;26,16;в
264;17/03/2016;амакгьг апо атл;995;17/3/2016;201603179952770030;80,00;в
265;15/03/2016;амакгьг апо атл;269;13/3/2016;201603152690310333;40,00;в
266;15/03/2016;амакгьг апо атл;558;12/3/2016;201603155580220286;40,00;в
267;11/03/2016;CаRRеFоUR лаRимояоUL;99;9/3/2016;201603110994874485;10,98;в
268;10/03/2016;амак. атл ехмийг;99;10/3/2016;201603100997707601;40,00;в
269;10/03/2016;енода амак.ехмийг;99;10/3/2016;201603100997707601;1,50;в
270;09/03/2016;JUлбо м FиLаDеLFиа;99;5/3/2016;201603090994887994;26,43;в
271;07/03/2016;йаSSоиL ее;99;3/3/2016;201603070994883160;51,00;в
272;07/03/2016;амакгьг апо атл;995;5/3/2016;201603079952770063;300,00;в
273;01/03/2016;емоийио;96;1/3/2016;201603010960115292;330,00;в
274;01/03/2016;жоятисг яRеяаиD лC;96;1/3/2016;20160301096014н092;100,00;в
275;01/03/2016;Cута64632800277701;99;1/3/2016;201603010999834241;17,00;в
276;01/03/2016;Dег713586879049;99;1/3/2016;201603010999834250;73,00;в
277;01/03/2016;енода емтокгс;99;1/3/2016;201603010999834250;0,10;в
278;01/03/2016;еуDа1600005772868511;99;1/3/2016;201603010999836402;9,00;в
279;26/02/2016;амакгьг апо атл;130;26/2/2016;201602261300220325;40,00;в
280;26/02/2016;амакгьг апо атл;130;26/2/2016;201602261300220326;150,00;в
281;24/02/2016;VиLLаGе RоаDSгоW;99;21/2/2016;201602240994885393;22,50;в
282;24/02/2016;амакгьг апо атл;995;24/2/2016;201602249952040026;40,00;в
283;23/02/2016;йаSSоиL ее;99;20/2/2016;201602230994871533;50,00;в
284;22/02/2016;амакгьг апо атл;995;21/2/2016;201602229952590547;40,00;в
285;19/02/2016;амак. атл ехмийг;99;19/2/2016;201602190997707042;80,00;в
286;19/02/2016;енода амак.ехмийг;99;19/2/2016;201602190997707042;1,50;в
287;19/02/2016;емт.160219949213н369;99;19/2/2016;201602190999516735;1.075,13;п
288;15/02/2016;CаRRеFоUR лаRимояоUL;99;11/2/2016;201602150994873750;24,69;в
289;11/02/2016;йаSSоиL ее;99;9/2/2016;201602110994865130;55,00;в
290;09/02/2016;имтеRSяоRт-Sяата;99;6/2/2016;201602090994871555;39,99;в
291;08/02/2016;еуе Dау CLимиC;99;3/2/2016;201602080994812515;100,00;в
292;08/02/2016;Vето аебе;99;6/2/2016;201602080994925442;61,99;в
293;04/02/2016;емоийио;96;4/2/2016;201602040960136664;330,00;в
294;03/02/2016;амакгьг апо атл;269;3/2/2016;201602032690310005;420,00;в
295;02/02/2016;DивомS S.е. еURояе а;99;30/1/2016;201602020994867652;59,90;в
296;27/01/2016;йаSSоиL ее;99;25/1/2016;201601270994912430;55,00;в
297;25/01/2016;Cута67950700177704;99;25/1/2016;201601250999825946;17,00;в
298;25/01/2016;Cута64632800277701;99;25/1/2016;201601250999825946;17,00;в
299;25/01/2016;амакгьг апо атл;558;23/1/2016;201601255580220302;40,00;в
300;20/01/2016;FRиDауS RеSт;99;19/1/2016;201601200994954637;39,44;в
301;20/01/2016;емт.160120949028н341;99;20/1/2016;201601200999517926;1.833,87;п
302;20/01/2016;еуяпи000000102360790;99;20/1/2016;201601200999822600;180,21;в
303;20/01/2016;енода емтокгс;99;20/1/2016;201601200999822600;0,30;в
304;19/01/2016;жоятисг яRеяаиD лC;96;19/1/2016;20160119096017н610;100,00;в
305;18/01/2016;CаRRеFоUR лаRимояоUL;99;15/1/2016;201601180994905333;34,27;в
306;18/01/2016;амакгьг апо атл;437;16/1/2016;201601184370310256;40,00;в
307;18/01/2016;амакгьг апо атл;437;16/1/2016;201601184370310257;80,00;в
308;14/01/2016;йаSSоиL ее;99;12/1/2016;201601140994875187;55,00;в
309;11/01/2016;ийеа;99;7/1/2016;201601110994869107;18,97;в
310;11/01/2016;амакгьг апо атл;269;9/1/2016;201601112690310096;40,00;в
311;11/01/2016;амакгьг апо атл;995;10/1/2016;201601119952660220;80,00;в
312;07/01/2016;яUбLиC Lалиа;99;31/12/2015;201601070994844611;15,98;в
313;07/01/2016;аFои VеRояоULои;99;4/1/2016;201601070994945748;26,00;в
314;04/01/2016;йаSSоиL ее;99;30/12/2015;201601040994917053;37,00;в
315;04/01/2016;амакгьг апо атл;210;1/1/2016;201601042100210008;40,00;в
316;04/01/2016;амакгьг апо атл;210;4/1/2016;201601042100210767;80,00;в
317;31/12/2015;емоийио;96;31/12/2015;201512310960168664;330,00;в
318;31/12/2015;пистытийои тойои;99;31/12/2015;201512310992719002;4,62;п
319;31/12/2015;жояос пистыт. тойым;99;31/12/2015;201512310992719002;0,69;в
320;31/12/2015;Cута64632800277701;99;31/12/2015;201512310999825371;17,20;в
321;29/12/2015;яUбLиC тге лаLL;99;23/12/2015;201512290994819685;69,99;в
322;28/12/2015;ийеа;99;23/12/2015;201512280994867808;100,00;в
323;28/12/2015;амакгьг апо атл;103;28/12/2015;201512281030320610;80,00;в
324;23/12/2015;лайRаиом ае;99;20/12/2015;201512230994920805;62,00;в
325;23/12/2015;Dег713586879049;99;23/12/2015;201512230999826191;99,00;в
326;23/12/2015;енода емтокгс;99;23/12/2015;201512230999826191;0,10;в
327;23/12/2015;амакгьг апо атл;995;23/12/2015;201512239955890096;40,00;в
328;18/12/2015;емт.151218949224н038;99;18/12/2015;201512180999519417;992,32;п
